JINA_ID,Priority,Ref,Name,Simbad_Identifier,NLTE,Sci_key,C_key,Loc,Type,RA,DEC,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
,,Roederer+2010,,,*,*,*,,,16 45 31.44240000000167,8 14 45.45600000000064,,,,,,,,,,,,,-3.25,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,-1.32,,,,,,,,,,,,-2.57,,,,,-2.79,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,19 42 2.1600000000051978,-61 3 44.7120000000109,,,,,,,,,,,,,-3.29,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,-1.18,,,,,,,,,,,,-2.47,,,,,-2.86,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,22 17 1.6559999999944353,-16 39 27.144000000003246,,,,,,,,,,,,,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,,,,,,-0.42,,,,,,,,,,,,-0.87,,,,,-0.96,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,19 42 26.889599999995824,-56 58 33.995999999994524,,,,,,,,,,,,,-2.69,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,-0.33,,,,,,,,,,,,-1.17,,,,,-1.31,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,21 3 11.299199999996006,-65 5 15.000000000020464,,,,,,,,,,,,,-3.41,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,,,,,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,21 44 51.17040000000003,-37 27 54.97199999998827,,,,,,,,,,,,,-3.14,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,23 37 28.694399999996563,-5 47 56.61599999999936,,,,,,,,,,,,,-3.43,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,1 2 15.856800000000177,-61 43 45.80400000000793,,,,,,,,,,,,,-2.84,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,-0.49,,,,,,,,,,,,-1.08,,,,,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,21 58 5.839200000010862,-65 13 27.155999999997675,,,,,,,,,,,,,-3.33,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,23 48 57.760799999999506,-29 39 22.85999999999916,,,,,,,,,,,,,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,-0.67,,,,,,,,,,,,-1.27,,,,,-1.69,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
